adhesion_id,adherent_id,jardin_id,saison_id,date_adhesion,montant
1,674,2,2,2022-01-01,30
2,1799,2,2,2022-01-01,30
3,2273,2,2,2022-01-01,30
4,451,2,2,2022-01-01,30
5,1717,2,2,2022-01-01,30
6,42,2,2,2022-01-01,30
7,1302,2,2,2022-01-01,30
8,330,2,2,2022-01-01,30
9,198,2,2,2022-01-01,30
10,1042,2,2,2022-01-01,30
11,328,2,2,2022-01-01,30
12,1742,2,2,2022-01-01,30
13,1618,2,2,2022-01-01,30
14,150,2,2,2022-01-01,30
15,1077,2,2,2022-01-01,30
16,1314,2,2,2022-01-01,30
17,720,2,2,2022-01-01,30
18,1569,2,2,2022-01-01,30
19,255,2,2,2022-01-01,30
20,246,2,2,2022-01-01,30
21,814,2,2,2022-01-01,30
22,841,2,2,2022-01-01,30
23,622,2,2,2022-01-01,30
24,325,2,2,2022-01-01,30
25,522,2,2,2022-01-01,30
26,223,2,2,2022-01-01,30
27,940,2,2,2022-01-01,30
28,789,2,2,2022-01-01,30
29,322,2,2,2022-01-01,30
30,1518,2,2,2022-01-01,30
31,1443,2,2,2022-01-01,30
32,1683,2,2,2022-01-01,30
33,320,2,2,2022-01-01,30
34,1604,2,2,2022-01-01,30
35,1464,2,2,2022-01-01,30
36,499,2,2,2022-01-01,30
37,951,2,2,2022-01-01,30
38,689,2,2,2022-01-01,30
39,251,2,2,2022-01-01,30
40,1580,2,2,2022-01-01,30
41,981,2,2,2022-01-01,30
42,1606,2,2,2022-01-01,30
43,180,2,2,2022-01-01,30
44,1280,2,2,2022-01-01,30
45,1419,2,2,2022-01-01,30
46,1730,2,2,2022-01-01,30
47,139,2,2,2022-01-01,30
48,416,2,2,2022-01-01,30
49,519,2,2,2022-01-01,30
50,1350,2,2,2022-01-01,30
51,815,2,2,2022-01-01,30
52,1578,2,2,2022-01-01,30
53,247,2,2,2022-01-01,30
54,598,2,2,2022-01-01,30
55,1575,2,2,2022-01-01,30
56,207,2,2,2022-01-01,30
57,1346,2,2,2022-01-01,30
58,1405,2,2,2022-01-01,30
59,196,2,2,2022-01-01,30
60,747,2,2,2022-01-01,30
61,502,2,2,2022-01-01,30
62,1387,2,2,2022-01-01,30
63,2262,2,2,2022-01-01,30
64,1649,2,2,2022-01-01,30
65,1700,2,2,2022-01-01,30
66,934,2,2,2022-01-01,30
67,821,2,2,2022-01-01,30
68,1549,2,2,2022-01-01,30
69,2260,2,2,2022-01-01,30
70,1555,2,2,2022-01-01,30
71,1119,2,2,2022-01-01,30
72,1128,2,2,2022-01-01,30
73,1590,2,2,2022-01-01,30
74,1507,2,2,2022-01-01,30
75,2120,2,2,2022-01-01,30
76,2118,2,2,2022-01-01,30
77,1710,2,2,2022-01-01,30
78,1162,2,2,2022-01-01,30
79,1352,2,2,2022-01-01,30
80,986,2,2,2022-01-01,30
81,1562,2,2,2022-01-01,30
82,1141,2,2,2022-01-01,30
83,525,2,2,2022-01-01,30
84,618,2,2,2022-01-01,30
85,626,2,2,2022-01-01,30
86,1007,2,2,2022-01-01,30
87,1428,2,2,2022-01-01,30
88,332,2,2,2022-01-01,30
89,1220,2,2,2022-01-01,30
90,2123,2,2,2022-01-01,30
91,1432,2,2,2022-01-01,30
92,1500,2,2,2022-01-01,30
93,995,2,2,2022-01-01,30
94,1047,2,2,2022-01-01,30
95,1454,2,2,2022-01-01,30
96,265,2,2,2022-01-01,30
97,1262,2,2,2022-01-01,30
98,867,2,2,2022-01-01,30
99,1421,2,2,2022-01-01,30
100,659,2,2,2022-01-01,30
101,731,2,2,2022-01-01,30
102,1739,2,2,2022-01-01,30
103,955,2,2,2022-01-01,30
104,418,2,2,2022-01-01,30
105,271,2,2,2022-01-01,30
106,1325,2,2,2022-01-01,30
107,274,2,2,2022-01-01,30
108,826,2,2,2022-01-01,30
109,1329,2,2,2022-01-01,30
110,734,2,2,2022-01-01,30
111,455,2,2,2022-01-01,30
112,1488,2,2,2022-01-01,30
113,1108,2,2,2022-01-01,30
114,1289,2,2,2022-01-01,30
115,1062,2,2,2022-01-01,30
116,835,2,2,2022-01-01,30
117,129,2,2,2022-01-01,30
118,644,2,2,2022-01-01,30
119,1656,2,2,2022-01-01,30
120,1032,2,2,2022-01-01,30
121,2259,2,2,2022-01-01,30
122,1714,2,2,2022-01-01,30
123,1071,2,2,2022-01-01,30
124,1251,2,2,2022-01-01,30
125,534,2,2,2022-01-01,30
126,640,2,2,2022-01-01,30
127,1634,2,2,2022-01-01,30
128,535,2,2,2022-01-01,30
129,1401,2,2,2022-01-01,30
130,703,2,2,2022-01-01,30
131,1631,2,2,2022-01-01,30
132,1247,2,2,2022-01-01,30
133,338,2,2,2022-01-01,30
134,1457,2,2,2022-01-01,30
135,1561,2,2,2022-01-01,30
136,177,2,2,2022-01-01,30
137,614,2,2,2022-01-01,30
138,1175,2,2,2022-01-01,30
139,1036,2,2,2022-01-01,30
140,540,2,2,2022-01-01,30
141,1571,2,2,2022-01-01,30
142,1483,2,2,2022-01-01,30
143,342,2,2,2022-01-01,30
144,1224,2,2,2022-01-01,30
145,1485,2,2,2022-01-01,30
146,437,2,2,2022-01-01,30
147,1063,2,2,2022-01-01,30
148,2256,2,2,2022-01-01,30
149,1130,2,2,2022-01-01,30
150,167,2,2,2022-01-01,30
151,1074,2,2,2022-01-01,30
152,278,2,2,2022-01-01,30
153,1744,2,2,2022-01-01,30
154,616,2,2,2022-01-01,30
155,1256,2,2,2022-01-01,30
156,344,2,2,2022-01-01,30
157,738,2,2,2022-01-01,30
158,1449,2,2,2022-01-01,30
159,1437,2,2,2022-01-01,30
160,1747,2,2,2022-01-01,30
161,548,2,2,2022-01-01,30
162,1112,2,2,2022-01-01,30
163,994,2,2,2022-01-01,30
164,945,2,2,2022-01-01,30
165,1646,2,2,2022-01-01,30
166,560,2,2,2022-01-01,30
167,1521,2,2,2022-01-01,30
168,562,2,2,2022-01-01,30
169,792,2,2,2022-01-01,30
170,1277,2,2,2022-01-01,30
171,1308,2,2,2022-01-01,30
172,1015,2,2,2022-01-01,30
173,1409,2,2,2022-01-01,30
174,1613,2,2,2022-01-01,30
175,422,2,2,2022-01-01,30
176,870,2,2,2022-01-01,30
177,1624,2,2,2022-01-01,30
178,174,2,2,2022-01-01,30
179,1136,2,2,2022-01-01,30
180,921,2,2,2022-01-01,30
181,1514,2,2,2022-01-01,30
182,1450,2,2,2022-01-01,30
183,710,2,2,2022-01-01,30
184,351,2,2,2022-01-01,30
185,958,2,2,2022-01-01,30
186,1214,2,2,2022-01-01,30
187,192,2,2,2022-01-01,30
188,1278,2,2,2022-01-01,30
189,1294,2,2,2022-01-01,30
190,1544,2,2,2022-01-01,30
191,1075,2,2,2022-01-01,30
192,1425,2,2,2022-01-01,30
193,356,2,2,2022-01-01,30
194,1673,2,2,2022-01-01,30
195,1060,2,2,2022-01-01,30
196,1587,2,2,2022-01-01,30
197,715,2,2,2022-01-01,30
198,635,2,2,2022-01-01,30
199,1380,2,2,2022-01-01,30
200,54,2,2,2022-01-01,30
201,1167,2,2,2022-01-01,30
202,1053,2,2,2022-01-01,30
203,1026,2,2,2022-01-01,30
204,1456,2,2,2022-01-01,30
205,425,2,2,2022-01-01,30
206,1360,2,2,2022-01-01,30
207,603,2,2,2022-01-01,30
208,1584,2,2,2022-01-01,30
209,1117,2,2,2022-01-01,30
210,1676,2,2,2022-01-01,30
211,913,2,2,2022-01-01,30
212,1766,2,2,2022-01-01,30
213,1479,2,2,2022-01-01,30
214,844,2,2,2022-01-01,30
215,1021,2,2,2022-01-01,30
216,184,2,2,2022-01-01,30
217,578,2,2,2022-01-01,30
218,440,2,2,2022-01-01,30
219,1551,2,2,2022-01-01,30
220,357,2,2,2022-01-01,30
221,1758,2,2,2022-01-01,30
222,1715,2,2,2022-01-01,30
223,1110,2,2,2022-01-01,30
224,1312,2,2,2022-01-01,30
225,884,2,2,2022-01-01,30
226,1142,2,2,2022-01-01,30
227,1582,2,2,2022-01-01,30
228,1680,2,2,2022-01-01,30
229,1535,2,2,2022-01-01,30
230,360,2,2,2022-01-01,30
231,443,2,2,2022-01-01,30
232,465,2,2,2022-01-01,30
233,1622,2,2,2022-01-01,30
234,997,2,2,2022-01-01,30
235,467,2,2,2022-01-01,30
236,612,2,2,2022-01-01,30
237,1726,2,2,2022-01-01,30
238,1178,2,2,2022-01-01,30
239,363,2,2,2022-01-01,30
240,285,2,2,2022-01-01,30
241,1242,2,2,2022-01-01,30
242,366,2,2,2022-01-01,30
243,1156,2,2,2022-01-01,30
244,1759,2,2,2022-01-01,30
245,217,2,2,2022-01-01,30
246,1394,2,2,2022-01-01,30
247,889,2,2,2022-01-01,30
248,1637,2,2,2022-01-01,30
249,581,2,2,2022-01-01,30
250,831,2,2,2022-01-01,30
251,125,2,2,2022-01-01,30
252,717,2,2,2022-01-01,30
253,593,2,2,2022-01-01,30
254,469,2,2,2022-01-01,30
255,1599,2,2,2022-01-01,30
256,637,2,2,2022-01-01,30
257,374,2,2,2022-01-01,30
258,609,2,2,2022-01-01,30
259,1468,2,2,2022-01-01,30
260,1674,2,2,2022-01-01,30
261,1751,2,2,2022-01-01,30
262,380,2,2,2022-01-01,30
263,1209,2,2,2022-01-01,30
264,428,2,2,2022-01-01,30
265,230,2,2,2022-01-01,30
266,584,2,2,2022-01-01,30
267,1470,2,2,2022-01-01,30
268,1564,2,2,2022-01-01,30
269,505,2,2,2022-01-01,30
270,382,2,2,2022-01-01,30
271,741,2,2,2022-01-01,30
272,435,2,2,2022-01-01,30
273,989,2,2,2022-01-01,30
274,745,2,2,2022-01-01,30
275,1193,2,2,2022-01-01,30
276,1775,2,2,2022-01-01,30
277,992,2,2,2022-01-01,30
278,1023,2,2,2022-01-01,30
279,287,2,2,2022-01-01,30
280,1318,2,2,2022-01-01,30
281,387,2,2,2022-01-01,30
282,1056,2,2,2022-01-01,30
283,1736,2,2,2022-01-01,30
284,508,2,2,2022-01-01,30
285,606,2,2,2022-01-01,30
286,586,2,2,2022-01-01,30
287,658,2,2,2022-01-01,30
288,751,2,2,2022-01-01,30
289,63,2,2,2022-01-01,30
290,61,2,2,2022-01-01,30
291,1189,2,2,2022-01-01,30
292,432,2,2,2022-01-01,30
293,291,2,2,2022-01-01,30
294,1453,2,2,2022-01-01,30
295,1139,2,2,2022-01-01,30
296,1184,2,2,2022-01-01,30
297,1363,2,2,2022-01-01,30
298,119,2,2,2022-01-01,30
299,70,2,2,2022-01-01,30
300,1528,2,2,2022-01-01,30
301,590,2,2,2022-01-01,30
302,758,2,2,2022-01-01,30
303,1595,2,2,2022-01-01,30
304,1396,2,2,2022-01-01,30
305,727,2,2,2022-01-01,30
306,1114,2,2,2022-01-01,30
307,1093,2,2,2022-01-01,30
308,897,2,2,2022-01-01,30
309,24,2,2,2022-01-01,30
310,1089,2,2,2022-01-01,30
311,1244,2,2,2022-01-01,30
312,1228,2,2,2022-01-01,30
313,155,2,2,2022-01-01,30
314,1239,2,2,2022-01-01,30
315,797,2,2,2022-01-01,30
316,862,2,2,2022-01-01,30
317,478,2,2,2022-01-01,30
318,74,2,2,2022-01-01,30
319,785,2,2,2022-01-01,30
320,851,2,2,2022-01-01,30
321,1332,2,2,2022-01-01,30
322,399,2,2,2022-01-01,30
323,806,2,2,2022-01-01,30
324,5,2,2,2022-01-01,30
325,159,2,2,2022-01-01,30
326,1195,2,2,2022-01-01,30
327,405,2,2,2022-01-01,30
328,401,2,2,2022-01-01,30
329,871,2,2,2022-01-01,30
330,1199,2,2,2022-01-01,30
331,948,2,2,2022-01-01,30
332,10,2,2,2022-01-01,30
333,1665,2,2,2022-01-01,30
334,482,2,2,2022-01-01,30
335,1029,2,2,2022-01-01,30
336,411,2,2,2022-01-01,30
337,83,2,2,2022-01-01,30
338,860,2,2,2022-01-01,30
339,241,2,2,2022-01-01,30
340,297,2,2,2022-01-01,30
341,769,2,2,2022-01-01,30
342,1025,2,2,2022-01-01,30
343,812,2,2,2022-01-01,30
344,1546,2,2,2022-01-01,30
345,1040,2,2,2022-01-01,30
346,1152,2,2,2022-01-01,30
347,16,2,2,2022-01-01,30
348,91,2,2,2022-01-01,30
349,1039,2,2,2022-01-01,30
350,770,2,2,2022-01-01,30
351,1611,2,2,2022-01-01,30
352,1321,2,2,2022-01-01,30
353,1609,2,2,2022-01-01,30
354,18,2,2,2022-01-01,30
355,1154,2,2,2022-01-01,30
356,94,2,2,2022-01-01,30
357,775,2,2,2022-01-01,30
358,592,2,2,2022-01-01,30
359,492,2,2,2022-01-01,30
360,1055,2,2,2022-01-01,30
361,1353,2,2,2022-01-01,30
362,408,2,2,2022-01-01,30
363,30,2,2,2022-01-01,30
364,1221,2,2,2022-01-01,30
365,1236,2,2,2022-01-01,30
366,872,2,2,2022-01-01,30
367,1779,2,2,2022-01-01,30
368,1785,2,2,2022-01-01,30
369,1803,2,2,2022-01-01,30
370,1788,2,2,2022-01-01,30
371,110,2,2,2022-01-01,30
372,515,2,2,2022-01-01,30
373,649,2,2,2022-01-01,30
374,100,2,2,2022-01-01,30
375,856,2,2,2022-01-01,30
376,554,2,2,2022-01-01,30
377,2154,2,2,2022-01-01,30
378,1805,2,2,2022-01-01,30
379,1808,2,2,2022-01-01,30
380,1810,2,2,2022-01-01,30
381,571,2,2,2022-01-01,30
382,705,2,2,2022-01-01,30
383,2191,2,2,2022-01-01,30
384,1817,2,2,2022-01-01,30
385,1820,2,2,2022-01-01,30
386,1823,2,2,2022-01-01,30
387,113,2,2,2022-01-01,30
388,1812,2,2,2022-01-01,30
389,377,2,2,2022-01-01,30
390,210,2,2,2022-01-01,30
391,765,2,2,2022-01-01,30
392,1835,2,2,2022-01-01,30
393,1837,2,2,2022-01-01,30
394,1841,2,2,2022-01-01,30
395,1843,2,2,2022-01-01,30
396,1815,2,2,2022-01-01,30
397,305,2,2,2022-01-01,30
398,262,2,2,2022-01-01,30
399,1863,2,2,2022-01-01,30
400,1866,2,2,2022-01-01,30
401,1869,2,2,2022-01-01,30
402,1100,2,2,2022-01-01,30
403,1776,2,2,2022-01-01,30
404,1876,2,2,2022-01-01,30
405,1501,2,2,2022-01-01,30
406,1883,2,2,2022-01-01,30
407,295,2,2,2022-01-01,30
408,1044,2,2,2022-01-01,30
409,928,2,2,2022-01-01,30
410,1893,2,2,2022-01-01,30
411,1336,2,2,2022-01-01,30
412,1900,2,2,2022-01-01,30
413,1901,2,2,2022-01-01,30
414,1903,2,2,2022-01-01,30
