id_abonnement;produit_ar_ref;id_adherent;annee;qte;reglt_mois_depart;MR_No;reglt_mois_nb;nb;nb_initial;DO_Piece;id_abonnement_prec;reste_precedent
28655;APS;123107;2025;1;1;41;12;50;50;;26780;0
28656;APS;258685;2025;1;1;41;12;50;50;;26781;2
28657;APS;260203;2025;1;1;41;12;50;50;;26783;0
28658;APS;259624;2025;1;1;41;12;4;50;;26784;13
28659;APS;55208;2025;1;1;5;12;50;50;;27619;6
28660;APS;11460;2025;1;1;41;12;50;50;;26787;0
29306;ABOEUF6;259607;2025;1;1;41;12;50;0;;0;0
28662;APS;260225;2025;1;1;41;12;50;50;AFA250186;26789;0
29098;APS15;258126;2025;1;1;41;12;25;25;;0;0
28664;APF;359;2025;1;1;41;12;50;50;;26793;0
28665;APS;260236;2025;1;1;41;12;50;50;;26795;0
28666;APS;20025;2025;1;1;41;12;50;50;;26797;0
28667;APS;259543;2025;1;1;41;12;50;50;;26798;0
28668;APS15;259491;2025;1;1;41;12;25;25;;26799;0
28669;APS;249;2025;1;1;41;12;50;50;;26801;0
28670;APS;209;2025;1;1;41;12;50;50;;26802;0
28671;APS;577;2025;1;1;41;12;50;50;AFA250185;26803;0
28672;APS;260246;2025;1;1;41;12;50;50;;26804;0
28673;APS;287;2025;1;1;41;12;50;50;;26805;0
29530;ABF1;259541;2025;1;1;41;12;25;0;;0;0
28675;APS;258213;2025;1;1;41;12;50;50;AFA250185;26807;0
29338;ABF1;531;2025;1;1;41;12;25;0;;0;0
28677;APS;256;2025;1;1;5;12;50;50;;26811;0
28678;APS;258799;2025;1;1;41;12;50;50;;26812;0
28679;MPSSO;217385;2025;1;1;41;12;50;50;AFA250162;26813;0
28680;APS;260254;2025;1;1;41;12;50;50;;26820;0
28681;APS;258872;2025;1;1;41;12;50;50;;26823;13
28682;APS;260270;2025;1;1;41;12;50;50;;26824;0
28683;APS;260271;2025;1;1;5;12;50;50;;26825;0
28684;APS15;259744;2025;1;1;41;12;25;25;AFA250168;26826;0
28685;APF15;589;2025;1;1;6;12;25;25;;26828;0
28686;APS15;260281;2025;1;1;41;12;25;25;;26829;0
28687;APS;260291;2025;1;1;41;12;50;50;;26831;0
28688;APS;257867;2025;1;1;41;12;50;50;;26834;0
28689;APS;259970;2025;1;1;41;12;50;50;;26837;0
28690;APDF15;258222;2025;1;1;41;12;25;25;;26838;0
28691;APS;260311;2025;1;1;43;12;50;50;;26839;0
28692;APS15;258820;2025;1;1;41;12;25;25;;26840;0
28693;APS;44513;2025;1;1;41;12;50;50;;26841;1
